Year,Emissions
1979,19.62
1980,19.50
1981,19.04
1982,18.88
1983,19.01
1984,19.66
1985,20.33
1986,20.63
1987,21.27
1988,22.11
1989,22.41
1990,22.76
1991,23.24
1992,22.58
1993,22.81
1994,22.97
1995,23.46
1996,24.16
1997,24.30
1998,24.21
1999,24.73
2000,25.45
2001,25.67
2002,26.28
2003,27.65
2004,28.64
2005,29.61
2006,30.59
2007,31.51
2008,32.09
2009,31.56
2010,33.36
2011,34.49
2012,35.01
2013,35.32
2014,35.58
2015,35.56
2016,35.52
2017,36.10
2018,36.83
2019,37.08
2020,35.26
2021,37.12
2022,37.49
