BearID,Year,Capture date,Ageclass,Sex,OW_50prct,OW_15prct,Meltseason,Bearded_seal,Ringed_seal,Beluga_whale,Bowhead_whale,Seabird_nestling
20498,2010,2010-04-17,Adult,Male,135,88,148,1.03,7.14,10.05,16.09,65.7
21351,2013,2013-04-18,Adult,Female,127,88,168,5.89,28.52,0,0,65.61
20658,2004,2004-03-27,Adult,Female,131,57,138,0,17.34,18.01,0,64.66
20797,2005,2005-04-15,Adult,Female,121,67,137,3.82,15.4,18.36,0.79,61.66
21260,2011,2011-04-16,Subadult,Male,147,83,163,0,19.29,22.74,0,57.99
22300,2015,2015-04-14,Subadult,Male,114,69,144,0,40.91,0,1.51,57.58
20869,2007,2007-03-31,Adult,Female,104,37,120,0,42.45,0,0,57.55
20195,2010,2010-04-11,Adult,Male,135,88,148,1.99,19.72,8.61,13.26,56.44
32260,2009,2009-04-09,Adult,Male,120,66,174,0,15.62,2.23,30.86,51.29
21402,2016,2016-04-22,Adult,Female,139,95,169,0,47.36,0,1.66,50.99
21000,2010,2010-04-05,Adult,Female,135,88,148,12.1,30.41,1.09,7.98,48.43
21359,2013,2013-04-27,Subadult,Male,127,88,168,0,14.64,0,37.12,48.25
20182,2008,2008-04-09,Adult,Female,158,89,147,0,2.57,49.35,0,48.08
20468,2007,2007-04-10,Adult,Male,104,37,120,12.51,29.67,9.58,0.62,47.64
21022,2010,2010-04-16,Subadult,Male,135,88,148,3.74,23.58,0.89,25.76,46.04
21237,2011,2011-03-29,Adult,Female,147,83,163,0,39.47,14.88,0,45.66
20695,2005,2005-04-21,Adult,Male,121,67,137,4.69,0.59,47.83,1.31,45.6
20553,2006,2006-04-05,Adult,Male,135,65,160,0,16.16,38.29,0,45.56
20671,2004,2004-04-02,Adult,Female,131,57,138,7.69,24.39,18.67,4.04,45.23
20627,2006,2006-04-06,Adult,Male,135,65,160,9.24,36.52,1.07,8.1,45.09
2012013,2012,2012-04-30,Subadult,Male,136,100,164,0.02,38.35,0,16.98,44.67
20753,2010,2010-04-13,Adult,Male,135,88,148,0,30.25,0.24,25.1,44.41
2012008,2012,2012-04-11,Adult,Male,136,100,164,33.16,4.08,0,18.45,44.32
21349,2013,2013-04-17,Subadult,Female,127,88,168,3.93,42.71,0,9.36,44
20449,2014,2014-04-12,Adult,Male,121,72,115,3.33,44.24,8.44,0,44
20731,2004,2004-04-23,Adult,Male,131,57,138,10.36,22.42,13.21,10.2,43.83
20224,2004,2004-04-23,Adult,Female,131,57,138,0,50.63,0,5.94,43.43
20580,2011,2011-04-12,Adult,Male,147,83,163,6.88,34.3,0,15.95,42.89
32366,2010,2010-04-12,Adult,Female,135,88,148,0,53.59,0,3.66,42.75
20473,2006,2006-04-04,Adult,Male,135,65,160,15.55,28.85,13.32,0,42.29
20935,2008,2008-04-16,Adult,Male,158,89,147,6.11,38.26,0.86,12.62,42.16
20753,2015,2015-05-06,Adult,Male,114,69,144,5.51,30.49,7.31,14.64,42.07
21231,2011,2011-03-23,Adult,Male,147,83,163,0,58.46,0,0,41.54
21024,2013,2013-04-19,Adult,Female,127,88,168,11.34,27.37,17.7,2.34,41.26
20899,2007,2007-04-29,Adult,Male,104,37,120,0,27.26,0,31.7,41.04
20859,2006,2006-05-04,Subadult,Female,135,65,160,0.52,14.41,0,44.19,40.89
20534,2008,2008-04-16,Adult,Female,158,89,147,0,50.82,7.51,0.95,40.73
20446,2007,2007-04-17,Adult,Female,104,37,120,0.99,55.27,0,3.22,40.53
20571,2007,2007-04-26,Adult,Male,104,37,120,15.95,24.98,1.36,17.76,39.97
20751,2005,2005-04-17,Adult,Male,121,67,137,9.56,32.51,0,18.41,39.52
20757,2010,2010-04-17,Adult,Male,135,88,148,0,33.42,5.91,21.39,39.29
20493,2009,2009-04-07,Adult,Female,120,66,174,2.3,33.66,1.7,23.15,39.19
20809,2005,2005-04-21,Adult,Female,121,67,137,1.96,29.28,29.62,0,39.14
20206,2007,2007-04-01,Adult,Male,104,37,120,1.49,13.39,0,46,39.12
20521,2013,2013-04-20,Adult,Female,127,88,168,0,42.53,12.19,6.41,38.88
32698,2015,2015-04-22,Adult,Female,114,69,144,0,42.96,12.75,5.68,38.62
21307,2015,2015-05-07,Adult,Female,114,69,144,0,54.96,0.78,5.72,38.56
20125,2010,2010-04-25,Adult,Male,135,88,148,1.19,38.86,1.72,19.73,38.52
20555,2006,2006-04-05,Adult,Male,135,65,160,0,5,37.47,19.49,38.04
20878,2010,2010-04-06,Adult,Male,135,88,148,7.02,17.99,1.39,35.58,38.03
20414,2010,2010-04-13,Adult,Female,135,88,148,24.99,0.69,0,36.42,37.92
