BearID,Year,Day,Ageclass,Age,Sex,Parent,NumDependents,StatusCurrentYR,StatusPriorYR,YoungPriorYR,BodyLength,Mass,BMI,StorageEnergy,HairWeight,HairCortisol,ReactiveOxySpecies,BactericidalAbility,Lysis,OxidativeBarrier,UCratio,HairEstradiol ,SerumEstradiol,HairProgesterone,SerumProgesterone,HairTestosterone,SerumTestosterone
20201,2013,12,Adult,11,F,Yes,2,,ON,,,187.79,,,177.3,2.301,10.356,51.344,1.761,362.55,27.11,24.545,0.485,0.026,0.397,,
20206,2013,26,Adult,,M,,,,,,236,476.27,68.397,3935.253,148.1,3.322,18.415,14.003,1.448,354.183,,,,,,0.012,25.736
20300,2013,30,Adult,,M,,,,,,231,398.25,56.762,2351.392,151.8,4.901,10.8,98.303,0.001,346.746,,,,,,0.011,39.567
20519,2013,21,Adult,,F,No,0,OFF,ON,,,204.57,39.045,662.399,233.5,2.441,14.459,100,1.281,357.902,,23.261,0.193,0.018,0.996,,
20520,2013,20,Adult,,F,Yes,2,ON,ON,,196.4,194.14,42.629,1278.752,54.1,3.327,10.015,0,1.537,359.761,,22.971,0.21,0.091,0.3,,
20521,2013,28,Adult,,F,Yes,2,,,,190.8,179.62,42.366,1285.612,193.9,3.177,8.889,100,2.887,360.691,,21.509,0.127,0.02,0.443,,
20525,2013,25,Adult,,F,Yes,1,,,,201.5,231.33,49.307,2078.426,80.7,5.328,4.756,100,0.001,356.042,22.65,22.737,0.412,0.053,0.334,,
20556,2013,23,Adult,,M,,,,,,234,459.04,75.308,4569.119,230,3.035,10.652,0,1.329,376.494,,,,,,0.008,24.009
20580,2013,30,Adult,,M,,,ON,ON,,233,424.56,67.991,3734.377,218,3.22,18.459,100,1.131,354.183,,,,,,0.008,18.441
20642,2013,21,Adult,,M,,,,,,,419.57,,,215.6,2.885,12.963,51.909,2.203,348.606,,,,,,0.008,0.846
20683,2013,26,Adult,,M,,,,,,,,,,184.2,4.017,,,,,,,,,,0.009,
20694,2013,7,Adult,,F,Yes,2,,,2,,,,,134.6,4.502,14.711,100,2.415,347.676,,22.309,0.101,0.035,0.243,,
20710,2013,9,Adult,,M,,,,,,229.5,405.06,64.352,3298.855,176.7,1.551,16.222,100,2.61,355.113,5.11,,,,,0.01,64.895
20734,2013,22,Adult,,F,Yes,1,,ON,,195.5,219.99,46.332,1709.785,204.8,1.768,10.104,100,1.918,356.042,,23.054,0.435,0.018,0.452,,
20807,2013,31,Adult,,F,Yes,2,OFF,,,195,169.19,37.678,705.58,101.9,3.847,10.133,100,1.265,333.732,,22.682,0.592,0.041,0.373,,
20886,2013,27,Adult,,M,,,,,,226,400.52,78.41,4447.3,227.3,2.728,2.548,61.103,1.567,356.042,,,,,,0.007,25.202
20961,2013,22,Adult,,F,No,0,,ON,,202.5,206.84,43.562,1365.626,119.5,2.979,6.607,0,2.226,355.113,9.75,22.916,0.04,0.038,1.374,,
21015,2013,36,Adult,,F,No,0,,ON,,195,221.81,58.33,2902.29,165.6,2.609,15.17,100,2.463,356.972,,22.64,0.137,0.025,0.242,,
21024,2013,27,Adult,,F,Yes,1,,,,203,184.16,53.08,2417.07,144.9,4.362,7.733,100,2.219,356.972,,23.261,0.171,0.028,0.257,,
21047,2013,4,Subadult,,M,,,,ON,,217,266.71,44.113,1082.446,,,14.637,0,0.001,377.424,,,,,,,5.166
21214,2013,35,Subadult,,F,No,0,,,,188.5,155.13,36.589,598.424,158.2,4.399,9.215,53.89,2.504,354.183,,22.778,0.716,0.027,0.694,,
21222,2013,8,Adult,,M,,,,,,,319.33,,,162.7,2.84,9.481,100,2.739,390.438,,,,,,0.012,0.679
21256,2013,34,Adult,,M,,,,,,224,285.76,45.399,970.516,139.7,5.24,14.696,100,1.856,356.972,,,,,,0.015,9.006
21274,2013,6,Adult,,M,,,,,,214,292.57,48.785,1425.85,110.6,2.116,15.852,100,2.284,354.183,2.38,,,,,0.021,14.081
21286,2013,1,Adult,,F,No,0,,OFF,0,198.1,184.61,41.113,1109.077,117.8,3.854,17.067,47.525,0.001,348.606,59.86,23.468,0.044,0.033,0.296,,
21307,2013,11,Adult,,F,No,0,,OFF,,,209.56,,,143.9,2.905,16.519,5.516,0.001,356.042,,23.579,0.027,0.032,0.19,,
21326,2013,2,Adult,,M,,,,,,201,208.65,41.621,797.999,145.6,4.464,13.17,43.281,2.104,350.465,6.13,,,,,0.014,7.483
21327,2013,5,Adult,,M,,,,,,213.5,254.92,46.998,1290.255,,,14.993,0,0.001,354.183,4.9,,,,,,3.379
21328,2013,5,Adult,,M,,,,,,194,167.38,36.581,411.623,222.3,3.302,8.252,0,1.898,354.183,8.58,,,,,0.008,11.001
21329,2013,5,Adult,,M,,,,,,230.5,395.08,63.269,3158.932,178.1,1.92,7.644,71.57,1.92,355.113,2.86,,,,,0.011,30.081
21330,2013,5,Adult,,M,,,,,,213,267.62,50.198,1632.223,139.1,2.746,14.489,61.669,1.813,350.465,39.85,,,,,,
21331,2013,6,Adult,,M,,,,,,,,,,,,,,,,,,,,,0.026,
21332,2013,6,Adult,,M,,,,,,,,,,,,,,,,,,,,,0.036,
21333,2013,6,Adult,,F,No,0,OFF,,,205,180.53,34.157,,161.1,,,,,,12.88,22.571,0.046,0.024,0.61,,
21334,2013,7,Subadult,2,M,,,,,,,,,,189.2,3.848,,,,,,,,,,0.01,
21335,2013,7,Subadult,2,M,,,,,,,,,,128.3,4.396,,,,,,,,,,0.016,
21336,2013,8,Adult,,F,No,0,,,,187,169.64,41.613,1219.56,116.1,2.86,8.874,100,2.709,347.676,15.15,22.916,0.205,0.039,0.474,,
21337,2013,8,Adult,,M,,,,,,,412.77,,,169.2,2.423,14.889,100,2.745,353.254,15.81,,,,,0.011,3.141
21339,2013,9,Adult,,F,Yes,1,,,,217.3,253.1,45.102,1423.342,173,4.59,18.874,100,2.816,349.535,58.25,22.364,0.164,0.023,0.191,,
21341,2013,11,Subadult,3,M,,,,,,,177.35,,,96.1,5.827,,,,,,,,,,0.021,
21342,2013,12,Subadult,2,M,,,,ON,,187,181.44,41.574,1110.597,93.3,4.287,,,,,,,,,,0.023,
21343,2013,32,Subadult,,F,No,0,ON,ON,,,,,,,2.2,,,,,,,,,,,
21344,2013,21,Adult,,M,,,,,,206,224.07,46.338,1271.3,71.5,3.357,10.652,9.618,1.866,351.394,8.4,,,,,0.03,0.963
21347,2013,24,Subadult,,F,No,0,,,,188.6,161.03,40.293,1024.015,206.3,5.245,11.556,100,2.737,356.042,,23.344,0.73,0.02,1.071,,
21349,2013,25,Subadult,,F,No,0,,,,165.5,92.08,28.132,77.336,98.8,4.555,7.896,100,,356.972,,22.944,0.179,0.042,0.962,,
21351,2013,26,Adult,,F,No,0,OFF,,,199,192.32,40.879,1041.288,137,4.584,11.748,100,,350.465,41.9,23.454,0.124,0.03,1.513,,
21358,2013,34,Adult,,F,No,0,ON,,,193.5,181.44,43.212,1382.559,117.3,4.621,6.696,0,,356.042,,22.985,0.048,0.035,1.039,,
21359,2013,35,Subadult,,M,,,ON,ON,,186,118.84,26.717,566.993,155,3.019,13.111,40.877,,358.831,,,,,,0.011,47.663
21360,2013,35,Subadult,,M,,,,,,168.5,142.88,40.462,1078.875,112.1,5.085,18.607,52.475,,352.324,,,,,,0.018,0.748
21361,2013,6,Adult,,F,No,0,ON,,,,164.2,,,,2.093,11.081,0.994,0.001,356.042,,,,,,,
21365,2013,13,,,M,,,,,,,,,,,3.661,,,,,,,,,,,4.693
32227,2013,30,Adult,,F,Yes,1,,,,198,208.2,43.849,1401.229,,,6.8,100,,350.465,,,0.041,,0.258,,
32821,2013,22,Adult,,F,No,0,,,,190,189.6,43.032,1343.942,132.2,4.327,10.281,3.395,0.001,350.465,,22.599,0.544,0.029,0.792,,
20110,2014,20,Adult,13,M,,,,,,,,,,145.8,1.797,12.996,10.373,1.691,331.416,,,,,,0.015,18.419
20423,2014,17,Adult,18,F,Yes,2,,OFF,,204.5,195.5,37.313,425.048,163.3,2.388,5.418,6.105,2.686,323.673,,22.488,0.193,0.027,0.103,,
20449,2014,20,Adult,21,M,,,,OFF,,242,416.4,60.715,2887.563,119.8,2.838,40.349,22.204,3.672,342.773,,,,,,0.017,14.64
20525,2014,15,Adult,14,F,Yes,1,,,,193.7,240.4,50.631,2243.825,102.6,2.573,11.416,9.778,1.276,340.708,60.09,22.792,0.093,0.046,0.609,,
20642,2014,14,Adult,16,M,,,,,,224.5,,,,135,2.756,,,,,,,,,,0.014,
20683,2014,34,Adult,11,M,,,,,,,,,,,,16.647,5.565,2.53,343.805,,,,,,,8.303
20753,2014,27,Adult,11,M,,,,,,,,,,244.1,2.065,15.27,7.996,2.974,340.708,,,,,,0.008,46.952
20845,2014,17,Adult,10,F,Yes,2,ON,ON,,204.5,211.37,41.79,1081.902,160.9,2.921,10.402,92.599,1.246,342.773,,20.529,0.218,0.026,0.194,,
20884,2014,31,Adult,19,M,,,,,,,,,,202.5,3.97,4.955,1.567,1.634,336.578,,,,,,0.007,42.446
20969,2014,36,Adult,7,M,,,ON,ON,,245,482.62,70.911,4239.867,154.4,4.132,18.066,3.89,,343.805,,,,,,0.011,10.221
20972,2014,16,Adult,6,M,,,ON,,,217,272.16,44.649,921.683,129.4,3.122,,,,,,,,,,0.015,
21015,2014,18,Adult,12,F,Yes,1,,,,186.8,210.01,50.341,2186.539,139.2,2.227,8.128,89.465,2.616,332.448,,22.737,0.176,0.033,0.219,,
21024,2014,21,Adult,11,F,No,0,OFF,,,,,,,128.2,3.744,10.562,52.08,2.279,354.646,,22.64,0.434,0.034,2.977,,
21028,2014,14,Adult,5,M,,,,,,226,318.88,47.579,1162.098,103.3,3.756,15.169,4.43,1.869,348.451,,,,,,0.019,2.104
21253,2014,36,Subadult,4,F,No,0,,,,203.6,206.38,42.294,1109.815,194.7,5.229,15.676,13.884,5.535,343.805,,22.364,0.211,0.02,0.326,,
21260,2014,22,Adult,5,M,,,,,,206,232.24,45.11,1125.025,109,4.183,16.11,5.078,1.506,321.608,,,,,,0.018,
21266,2014,22,Subadult,3,F,No,0,,,,190,,,,117.1,4.184,12.778,7.023,1.324,356.195,,22.419,0.225,0.037,0.173,,
21307,2014,21,Adult,5,F,Yes,1,OFF,,,198,183.7,40.528,1032.437,115.5,2.805,13.213,33.766,4.229,316.962,,22.406,0.137,0.041,1.533,,
21335,2014,2,Subadult,3,M,,,,,,192.5,197.31,40.072,827.885,,,23.876,14.641,3.358,329.351,,,,,,,0.487
21343,2014,21,Subadult,3,F,No,0,,ON,,190,183.25,42.805,1253.3,221.2,3.544,11.011,3.241,1.368,304.572,,22.585,0.748,0.019,0.532,,
21348,2014,21,,,M,,,,,,,,,,,5.827,,,,,,,,,,,
21358,2014,22,Subadult,4,F,Yes,1,,ON,,196,190.06,41.929,1198.583,124.2,2.899,8.678,90.816,2.114,337.094,,22.419,0.03,0.036,0.471,,
21359,2014,31,Subadult,4,M,,,,ON,,199.6,210.47,43.922,1320.758,168.5,3.145,,,,,,,,,,0.013,
21361,2014,11,Adult,,M,,,,,,,,,,,,,,,,,,,,,,
21362,2014,2,Adult,5,M,,,,,,221,229.06,40.138,493.551,158.8,2.065,12.054,2.485,2.107,342.257,19.59,,,,,0.013,2.904
21363,2014,7,Subadult,3,M,,,,,,199,202.76,41.177,963.922,101.6,3.189,12.764,89.573,2.268,329.867,,,,,,0.023,7.419
21364,2014,11,Adult,18,F,Yes,1,OFF,,1,203.3,217.72,43.822,1365.62,,,19.428,18.26,0.715,319.027,89.41,,,,,,
21366,2014,14,Adult,8,F,No,0,OFF,,,183.3,147.87,38.923,973.093,129.1,2.541,8.041,89.303,2.41,351.032,,22.626,0.235,0.036,0.906,,
21367,2014,15,Subadult,3,M,,,,,,207.5,238.14,47.503,1373.444,49.1,5.01,9.794,6.483,2.146,340.708,11.29,,,,,0.046,8.004
21368,2014,16,Subadult,4,F,No,0,ON,,,188,175.09,41.353,1195.924,286.2,2.46,12.039,3.025,2.194,323.673,,23.496,0.242,0.015,0.244,,
21369,2014,17,Adult,6,F,Yes,2,,,,187.8,166.92,38.617,852.917,46.8,4.017,11.214,90.33,2.152,317.994,19.93,23.289,0.028,0.11,0.26,,
21374,2014,18,Adult,6,F,No,0,,,,192.2,166.92,51.881,2269.349,124.5,5.59,8.07,8.428,1.928,350,,20.363,0.348,0.038,0.442,,
21375,2014,22,,,M,,,,,,,,,,,,14.647,5.943,1.619,335.546,,,,,,,
21376,2014,25,Adult,5,F,No,0,,,,189,175.54,43.925,1468.506,,2.237,,,,,11.92,,,,,,
21380,2014,21,Subadult,4,F,No,0,OFF,,,184.6,174.63,45.039,1583.263,168.4,5.048,15.98,11.561,1.413,330.9,73.57,21.453,0.414,0.024,0.647,,
21382,2014,23,Adult,,F,Yes,1,OFF,,,191,160.12,35.997,520.637,138.9,3.585,5.027,7.563,2.681,303.54,,22.999,0.267,0.031,0.141,,
21384,2014,23,Adult,5,F,No,0,,,,198.2,196.41,40.616,915.12,107.4,5.158,12.691,5.889,2.135,357.743,,22.682,0.175,0.039,0.097,,
